#| *Dataset id* | *Process* | *Generator* | *cross section*BR* | k-factor | filter efficiency | name 
#
# k-factor is filter efficiency is most if not all cases
# as of March 2013 this information can be found here:
# https://twiki.cern.ch/twiki/bin/viewauth/AtlasProtected/HSG5MCSamplesandRequests
#
# w+jets
167790 | Sherpa_CT10_WenuMassiveCBPt500_CJetVetoBVeto         | SherpaHighVpTFullSim | 1.02E-01 | 1.10 | 6.59E-01 | Wll
167791 | Sherpa_CT10_WmunuMassiveCBPt500_BFilter              | SherpaHighVpTFullSim | 1.02E-01 | 1.10 | 9.98E-02 | Wbb
167792 | Sherpa_CT10_WmunuMassiveCBPt500_CJetFilterBVeto      | SherpaHighVpTFullSim | 1.02E-01 | 1.10 | 2.42E-01 | Wcc
167793 | Sherpa_CT10_WmunuMassiveCBPt500_CJetVetoBVeto        | SherpaHighVpTFullSim | 1.02E-01 | 1.10 | 6.59E-01 | Wll
167794 | Sherpa_CT10_WtaunuMassiveCBPt500_BFilter             | SherpaHighVpTFullSim | 1.02E-01 | 1.10 | 9.98E-02 | Wbb
167795 | Sherpa_CT10_WtaunuMassiveCBPt500_CJetFilterBVeto     | SherpaHighVpTFullSim | 1.02E-01 | 1.10 | 2.42E-01 | Wcc
167796 | Sherpa_CT10_WtaunuMassiveCBPt500_CJetVetoBVeto       | SherpaHighVpTFullSim | 1.02E-01 | 1.10 | 6.59E-01 | Wll
#
# z+jets
167749 | Sherpa_CT10_ZeeMassiveCBPt0_BFilter          | SherpaLowVpT | 1.110E+03 | 1.12 | 2.83E-02 | Zbb
167750 | Sherpa_CT10_ZeeMassiveCBPt0_CFilterBVeto     | SherpaLowVpT | 1.110E+03 | 1.12 | 2.83E-01 | Zcc
167751 | Sherpa_CT10_ZeeMassiveCBPt0_CVetoBVeto       | SherpaLowVpT | 1.110E+03 | 1.12 | 6.89E-01 | Zll
167752 | Sherpa_CT10_ZmumuMassiveCBPt0_BFilter        | SherpaLowVpT | 1.110E+03 | 1.12 | 2.83E-02 | Zbb  
167753 | Sherpa_CT10_ZmumuMassiveCBPt0_CFilterBVeto   | SherpaLowVpT | 1.110E+03 | 1.12 | 2.83E-01 | Zcc  
167754 | Sherpa_CT10_ZmumuMassiveCBPt0_CVetoBVeto     | SherpaLowVpT | 1.110E+03 | 1.12 | 6.89E-01 | Zll  
167755 | Sherpa_CT10_ZtautauMassiveCBPt0_BFilter      | SherpaLowVpT | 1.110E+03 | 1.12 | 2.83E-02 | Zbb  
167756 | Sherpa_CT10_ZtautauMassiveCBPt0_CFilterBVeto | SherpaLowVpT | 1.110E+03 | 1.12 | 2.83E-01 | Zcc  
167757 | Sherpa_CT10_ZtautauMassiveCBPt0_CVetoBVeto   | SherpaLowVpT | 1.110E+03 | 1.12 | 6.89E-01 | Zll  
167758 | Sherpa_CT10_ZnunuMassiveCBPt0_BFilter        | SherpaLowVpT | 5.991E+03 | 1.12 | 2.83E-02 | Zbb  
